Empleado1,Empleado2,similarity
Empleado10387,Empleado5489,1.0
Empleado10388,Empleado11636,1.0
Empleado10389,Empleado8364,1.0
Empleado1039,Empleado14620,1.0
Empleado10390,Empleado3165,1.0
Empleado10391,Empleado8543,1.0
Empleado10392,Empleado2114,1.0
Empleado10393,Empleado14091,1.0
Empleado10394,Empleado9895,1.0
Empleado10395,Empleado14727,1.0
Empleado10396,Empleado6205,1.0
Empleado10397,Empleado11724,1.0
Empleado10398,Empleado6703,1.0
Empleado10399,Empleado451,1.0
Empleado104,Empleado771,1.0
Empleado1040,Empleado6758,1.0
Empleado10400,Empleado9872,1.0
Empleado10401,Empleado8457,1.0
Empleado10402,Empleado4586,1.0
Empleado10403,Empleado2922,1.0
Empleado10404,Empleado7164,1.0
Empleado10405,Empleado2749,1.0
Empleado10406,Empleado9922,1.0
Empleado10408,Empleado10366,1.0
Empleado10409,Empleado11563,1.0
Empleado1041,Empleado6289,1.0
Empleado10410,Empleado6105,1.0
Empleado10411,Empleado1880,1.0
Empleado10412,Empleado14480,1.0
Empleado10413,Empleado9081,1.0
Empleado10414,Empleado3729,1.0
Empleado10415,Empleado4960,1.0
Empleado10416,Empleado3873,1.0
Empleado10417,Empleado10105,1.0
Empleado10418,Empleado1399,1.0
Empleado10419,Empleado3949,1.0
Empleado1042,Empleado481,1.0
Empleado10420,Empleado10791,1.0
Empleado10421,Empleado5312,1.0
Empleado10422,Empleado8184,1.0
Empleado10423,Empleado13693,1.0
Empleado10424,Empleado7746,1.0
Empleado10425,Empleado1082,1.0
Empleado10426,Empleado1201,1.0
Empleado10427,Empleado3461,1.0
Empleado10428,Empleado9101,1.0
Empleado10429,Empleado4223,1.0
Empleado1043,Empleado13975,1.0
Empleado10430,Empleado4056,1.0
Empleado10431,Empleado8161,1.0
Empleado10432,Empleado13900,1.0
Empleado10433,Empleado6887,1.0
Empleado10434,Empleado8847,1.0
Empleado10435,Empleado8224,1.0
Empleado10436,Empleado381,1.0
Empleado10437,Empleado5956,1.0
Empleado10438,Empleado6106,1.0
Empleado10439,Empleado5354,1.0
Empleado1044,Empleado11788,1.0
Empleado10440,Empleado3000,1.0
Empleado10441,Empleado792,1.0
Empleado10442,Empleado6835,1.0
